ds,yhat,Actual,Error,Absolute_Error,APE,Date,Hour
2025-08-04 17:00:00,460.739002432347,501.5,-40.76099756765302,40.76099756765302,8.127816065334601,2025-08-04,17
2025-08-04 18:00:00,430.8938197327487,475.6,-44.70618026725134,44.70618026725134,9.399953798833334,2025-08-04,18
2025-08-04 19:00:00,397.5958345753681,409.9,-12.30416542463189,12.30416542463189,3.001748090908,2025-08-04,19
2025-08-04 20:00:00,385.38095759521815,370.2,15.18095759521816,15.18095759521816,4.100744893359849,2025-08-04,20
2025-08-04 21:00:00,395.87348659291393,339.2,56.673486592913946,56.673486592913946,16.707985434231706,2025-08-04,21
2025-08-04 22:00:00,410.4605895347659,367.7,42.76058953476593,42.76058953476593,11.629205747828646,2025-08-04,22
2025-08-04 23:00:00,413.36388381796354,363.5,49.86388381796354,49.86388381796354,13.717712192011977,2025-08-04,23
2025-08-05 00:00:00,349.5300212071463,308.5,41.03002120714632,41.03002120714632,13.299844799723278,2025-08-05,0
2025-08-05 01:00:00,353.3310661600208,353.4,-0.068933839979195,0.068933839979195,0.0195058969946788,2025-08-05,1
2025-08-05 02:00:00,369.9841609890344,364.1,5.884160989034399,5.884160989034399,1.61608376518385,2025-08-05,2
2025-08-05 03:00:00,379.17591673356594,376.9,2.275916733565964,2.275916733565964,0.6038516141061194,2025-08-05,3
2025-08-05 04:00:00,352.9733034082645,349.7,3.2733034082644963,3.2733034082644963,0.936031858239776,2025-08-05,4
2025-08-05 05:00:00,287.78682299042003,315.6,-27.813177009579988,27.813177009579988,8.812793729271224,2025-08-05,5
2025-08-05 06:00:00,218.8966230940519,191.1,27.79662309405191,27.79662309405191,14.545590316092053,2025-08-05,6
2025-08-05 07:00:00,198.6554082032384,162.1,36.555408203238414,36.555408203238414,22.551146331424068,2025-08-05,7
2025-08-05 08:00:00,254.1391326263013,239.6,14.539132626301324,14.539132626301324,6.068085403297715,2025-08-05,8
2025-08-05 09:00:00,361.9084763430501,346.2,15.708476343050108,15.708476343050108,4.537399290309101,2025-08-05,9
2025-08-05 10:00:00,464.1418345065712,442.5,21.64183450657123,21.64183450657123,4.890810057982199,2025-08-05,10
2025-08-05 11:00:00,513.1868301113402,405.8,107.3868301113402,107.3868301113402,26.462994113193737,2025-08-05,11
2025-08-05 12:00:00,505.6232603003413,510.6,-4.976739699658708,4.976739699658708,0.9746846258634368,2025-08-05,12
2025-08-05 13:00:00,477.00278429869263,430.5,46.50278429869263,46.50278429869263,10.802040487501191,2025-08-05,13
2025-08-05 14:00:00,464.85349400974735,486.7,-21.84650599025264,21.84650599025264,4.48870063493993,2025-08-05,14
2025-08-05 15:00:00,475.5954743098071,494.6,-19.004525690192963,19.004525690192963,3.842403091425993,2025-08-05,15
2025-08-05 16:00:00,484.66471757860336,443.1,41.564717578603336,41.564717578603336,9.380437277951554,2025-08-05,16
2025-08-05 17:00:00,465.91587625773366,497.6,-31.684123742266365,31.684123742266365,6.367388211870249,2025-08-05,17
2025-08-05 18:00:00,419.2135892506706,481.1,-61.8864107493294,61.8864107493294,12.86352333180823,2025-08-05,18
2025-08-05 19:00:00,369.68528333096384,404.8,-35.11471666903617,35.11471666903617,8.674584157370594,2025-08-05,19
2025-08-05 20:00:00,342.05707148005183,356.9,-14.842928519948146,14.842928519948146,4.158848002226995,2025-08-05,20
2025-08-05 21:00:00,337.9133182451005,362.3,-24.386681754899485,24.386681754899485,6.731074180209628,2025-08-05,21
2025-08-05 22:00:00,338.6022377727726,393.2,-54.597762227227406,54.597762227227406,13.885493954025282,2025-08-05,22
2025-08-05 23:00:00,328.48648912704186,384.0,-55.513510872958136,55.513510872958136,14.456643456499515,2025-08-05,23
2025-08-06 00:00:00,316.53831598204124,358.2,-41.66168401795875,41.66168401795875,11.630844226119136,2025-08-06,0
2025-08-06 01:00:00,309.9837620511363,383.2,-73.2162379488637,73.2162379488637,19.106533911498875,2025-08-06,1
2025-08-06 02:00:00,317.64354378492754,391.1,-73.45645621507248,73.45645621507248,18.78201386220212,2025-08-06,2
2025-08-06 03:00:00,319.2166358456851,365.3,-46.08336415431489,46.08336415431489,12.615210554151352,2025-08-06,3
2025-08-06 04:00:00,286.7512807053434,325.1,-38.34871929465663,38.34871929465663,11.795976405615695,2025-08-06,4
2025-08-06 05:00:00,216.6512929446376,342.9,-126.2487070553624,126.2487070553624,36.81793731564957,2025-08-06,5
2025-08-06 06:00:00,144.21152298111005,257.6,-113.38847701888996,113.38847701888996,44.01726592348213,2025-08-06,6
2025-08-06 07:00:00,121.79445933923702,172.7,-50.905540660762966,50.905540660762966,29.476282953539645,2025-08-06,7
2025-08-06 08:00:00,176.45123787472292,247.7,-71.24876212527707,71.24876212527707,28.76413489110904,2025-08-06,8
2025-08-06 09:00:00,284.6815273454938,351.0,-66.3184726545062,66.3184726545062,18.89415175342057,2025-08-06,9
2025-08-06 10:00:00,388.5917844850652,501.9,-113.30821551493476,113.30821551493476,22.575854854539703,2025-08-06,10
2025-08-06 11:00:00,440.4681716976477,507.4,-66.9318283023523,66.9318283023523,13.191136835307905,2025-08-06,11
2025-08-06 12:00:00,436.8308117456127,510.8,-73.96918825438735,73.96918825438735,14.481047034923131,2025-08-06,12
2025-08-06 13:00:00,413.1418844743683,418.9,-5.758115525631695,5.758115525631695,1.374579977472355,2025-08-06,13
2025-08-06 14:00:00,406.7899372216143,478.3,-71.5100627783857,71.5100627783857,14.950880781598515,2025-08-06,14
2025-08-06 15:00:00,424.0221825733528,515.0,-90.97781742664716,90.97781742664716,17.665595616824692,2025-08-06,15
2025-08-06 16:00:00,440.1110344966746,472.5,-32.38896550332538,32.38896550332538,6.854807513931298,2025-08-06,16
2025-08-06 17:00:00,428.78643670739433,497.0,-68.21356329260567,68.21356329260567,13.725063036741584,2025-08-06,17
2025-08-06 18:00:00,389.8153791246038,478.2,-88.3846208753962,88.3846208753962,18.482773081429567,2025-08-06,18
2025-08-06 19:00:00,348.21335179321227,398.7,-50.48664820678772,50.48664820678772,12.662816204361103,2025-08-06,19
2025-08-06 20:00:00,328.5516155594545,349.6,-21.048384440545533,21.048384440545533,6.020704931506159,2025-08-06,20
2025-08-06 21:00:00,332.232675699204,379.3,-47.06732430079603,47.06732430079603,12.408996651936734,2025-08-06,21
2025-08-06 22:00:00,340.44558121267994,378.1,-37.65441878732008,37.65441878732008,9.95885183478447,2025-08-06,22
2025-08-06 23:00:00,337.45549057446806,368.5,-31.044509425531945,31.044509425531945,8.424561580877054,2025-08-06,23
2025-08-07 00:00:00,377.7483747396392,357.9,19.84837473963921,19.84837473963921,5.545787856842473,2025-08-07,0
2025-08-07 01:00:00,377.48905476067137,368.6,8.889054760671343,8.889054760671343,2.411572100019355,2025-08-07,1
2025-08-07 02:00:00,390.7533810149515,379.4,11.353381014951538,11.353381014951538,2.9924567777942905,2025-08-07,2
2025-08-07 03:00:00,397.2153337022155,395.0,2.215333702215503,2.215333702215503,0.5608439752444311,2025-08-07,3
2025-08-07 04:00:00,368.882405490702,350.5,18.382405490702013,18.382405490702013,5.24462353515036,2025-08-07,4
2025-08-07 05:00:00,302.0799907998324,350.1,-48.02000920016769,48.02000920016769,13.71608374754861,2025-08-07,5
2025-08-07 06:00:00,232.02539619850887,279.5,-47.47460380149113,47.47460380149113,16.985546977277686,2025-08-07,6
2025-08-07 07:00:00,211.05616872627712,183.8,27.25616872627711,27.25616872627711,14.829253931597991,2025-08-07,7
2025-08-07 08:00:00,266.25767545436986,243.4,22.85767545436985,22.85767545436985,9.390992380595668,2025-08-07,8
2025-08-07 09:00:00,374.1773728754951,351.8,22.37737287549509,22.37737287549509,6.36082230684909,2025-08-07,9
2025-08-07 10:00:00,476.9363693383317,528.2,-51.26363066166834,51.26363066166834,9.705344691720624,2025-08-07,10
2025-08-07 11:00:00,526.8085739183208,524.2,2.608573918320758,2.608573918320758,0.4976295151317736,2025-08-07,11
2025-08-07 12:00:00,520.3315738433306,524.2,-3.868426156669443,3.868426156669443,0.7379675995172535,2025-08-07,12
2025-08-07 13:00:00,493.0619454230167,417.7,75.36194542301672,75.36194542301672,18.042122437878074,2025-08-07,13
2025-08-07 14:00:00,482.5411155523054,480.0,2.541115552305428,2.541115552305428,0.5293990733969641,2025-08-07,14
2025-08-07 15:00:00,495.15190323809554,509.5,-14.348096761904458,14.348096761904458,2.8161132015514148,2025-08-07,15
2025-08-07 16:00:00,506.2223725480709,466.7,39.522372548070905,39.522372548070905,8.46847494066229,2025-08-07,16
2025-08-07 17:00:00,489.4737861296744,504.7,-15.22621387032558,15.22621387032558,3.016884063864787,2025-08-07,17
2025-08-07 18:00:00,444.6874630417612,496.3,-51.61253695823882,51.61253695823882,10.399463420962888,2025-08-07,18
2025-08-07 19:00:00,396.99797300367686,384.8,12.19797300367685,12.19797300367685,3.169951404281925,2025-08-07,19
2025-08-07 20:00:00,371.1993229962413,349.8,21.399322996241324,21.399322996241324,6.117588049239943,2025-08-07,20
2025-08-07 21:00:00,368.93284083648007,362.6,6.332840836480045,6.332840836480045,1.7465087800551695,2025-08-07,21
2025-08-07 22:00:00,371.5431327843848,357.1,14.443132784384773,14.443132784384773,4.044562527130992,2025-08-07,22
2025-08-07 23:00:00,363.3406565797574,355.2,8.140656579757433,8.140656579757433,2.2918515145713494,2025-08-07,23
